Time_s	Speed_km/h
231	20.0837948717949
232	20.5633846153846
233	20.9750427350427
234	21.3295042735043
235	21.6230427350427
236	21.8492991452991
237	22.0316581196581
238	22.1898461538461
239	22.3362393162393
240	22.4479658119658
241	22.5107008547008
242	22.5390427350427
243	22.5424957264957
244	22.516
245	22.4574017094017
246	22.3708717948718
247	22.2212991452991
248	21.9975384615385
249	21.7141538461538
250	21.3753162393162
251	20.9821196581196
252	20.5314188034188
253	20.0191111111111
254	19.4521367521367
255	18.8345299145299
256	18.1290256410256
257	17.3274188034188
258	16.4398290598291
259	15.4612991452991
260	14.4009230769231
261	13.2856068376068
262	12.1491282051282
263	10.9953162393162
264	9.82895726495726
265	8.65350427350427
266	7.49876923076923
267	6.39008547008547
268	5.34471794871795
269	4.37682051282051
270	3.49726495726496
271	2.71347008547008
272	2.01446153846154
273	1.42492307692308
274	0.952786324786323
275	0.597230769230768
276	0.353641025641025
277	0.206051282051281
278	0.1
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0.0756526
301	0.1842
302	0.41
303	0.73
304	0.916102564102563
305	1.06762393162393
306	1.28892307692308
307	1.59791452991453
308	2.00776068376068
309	2.53131623931624
310	3.18239316239316
311	3.96687179487179
312	4.88211965811966
313	5.91490598290598
314	7.04652991452991
315	8.26447863247863
316	9.54263247863248
317	10.8499145299145
318	12.1756239316239
319	13.5068376068376
320	14.8144273504273
321	16.0689230769231
322	17.261811965812
323	18.3819829059829
324	19.4122735042735
325	20.3021538461538
326	21.0461196581197
327	21.6372649572649
328	22.097641025641
329	22.4343931623931
330	22.6740854700855
331	22.8050256410256
332	22.8211623931624
333	22.7189743589744
334	22.4833162393162
335	22.107452991453
336	21.5849230769231
337	20.9080341880342
338	20.0708717948718
339	19.0836239316239
340	17.9507692307692
341	16.6844786324786
342	15.3025299145299
343	13.8421196581197
344	12.349264957265
345	10.8519658119658
346	9.38806837606837
347	7.98611965811965
348	6.648
349	5.39299145299145
350	4.24564102564102
351	3.22068376068376
352	2.33223931623931
353	1.60574358974359
354	1.03832478632478
355	0.630461538461537
356	0.336136752136751
357	0.143658119658119
358	0.042700854700854
359	0.00208547008546947
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0.09
466	0.18
467	0.365025641025641
468	0.408820512820512
469	0.516034188034187
470	0.682358974358974
471	0.927863247863247
472	1.2822905982906
473	1.76047863247863
474	2.35651282051282
475	3.03740170940171
476	3.77620512820513
477	4.56317948717948
478	5.38779487179487
479	6.24755555555555
480	7.13658119658119
481	8.04150427350427
482	8.96813675213675
483	9.89432478632478
484	10.8121709401709
485	11.6873504273504
486	12.5014017094017
487	13.2222564102564
488	13.8571282051282
489	14.4224273504273
490	14.9382222222222
491	15.3765128205128
492	15.7731965811966
493	16.1413333333333
494	16.482358974359
495	16.8146666666667
496	17.1621538461538
497	17.5240683760684
498	17.8634871794872
499	18.1464957264957
500	18.3506324786325
501	18.486358974359
502	18.5773675213675
503	18.6557948717949
504	18.7317948717949
505	18.8050598290598
506	18.8931623931624
507	19.0006153846154
508	19.1067008547008
509	19.1971282051282
510	19.2737094017094
511	19.3483418803419
512	19.4242735042735
513	19.4962051282051
514	19.5788034188034
515	19.677094017094
516	19.7784957264957
517	19.8809572649573
518	19.9738803418803
519	20.0494700854701
520	20.1169914529914
521	20.1383247863248
522	20.082735042735
523	19.9136752136752
524	19.6160683760684
525	19.1729572649573
526	18.5641709401709
527	17.8066666666667
528	16.9204444444444
529	15.9081709401709
530	14.7776068376068
531	13.5554188034188
532	12.2544273504273
533	10.9028376068376
534	9.54051282051282
535	8.2108376068376
536	6.91692307692307
537	5.67835897435897
538	4.53008547008547
539	3.50335042735042
540	2.60823931623931
541	1.84605128205128
542	1.21641025641025
543	0.728239316239315
544	0.380444444444443
545	0.162256410256409
546	0.0430769230769221
547	0.00953846153846066
548	0.0478632478632469
549	0.150051282051281
550	0.317059829059828
551	0.572205128205127
552	0.950666666666666
553	1.45117948717949
554	2.04960683760684
555	2.73904273504273
556	3.52670085470085
557	4.42533333333333
558	5.42707692307692
559	6.51606837606837
560	7.66324786324786
561	8.85353846153846
562	10.091282051282
563	11.3577094017094
564	12.6294017094017
565	13.8905641025641
566	15.1116239316239
567	16.2629401709402
568	17.3410256410256
569	18.3146324786325
570	19.1746666666667
571	19.9266324786325
572	20.5900512820513
573	21.1902905982906
574	21.7318632478632
575	22.2213333333333
576	22.6618803418803
577	23.0492649572649
578	23.3637948717949
579	23.6004444444444
580	23.7700170940171
581	23.8757948717949
582	23.9237948717949
583	23.899452991453
584	23.8188717948718
585	23.6905641025641
586	23.5265299145299
587	23.3247179487179
588	23.074905982906
589	22.7798632478632
590	22.4272136752137
591	22.0097435897436
592	21.5258119658119
593	21.0045811965812
594	20.4401367521367
595	19.8698803418803
596	19.3102222222222
597	18.7710427350427
598	18.2637606837607
599	17.7815042735043
600	17.3271794871795
601	16.9111452991453
602	16.5188717948718
603	16.1578803418803
604	15.8251282051282
605	15.517811965812
606	15.2433504273504
607	15.0120683760684
608	14.8266324786325
609	14.7161025641026
610	14.6531282051282
611	14.6152478632479
612	14.5965128205128
613	14.5968205128205
614	14.6223931623932
615	14.6836923076923
616	14.7877948717949
617	14.9417435897436
618	15.1372307692308
619	15.3408888888889
620	15.5108717948718
621	15.6249914529914
622	15.6745982905983
623	15.6085811965812
624	15.4021538461538
625	15.055452991453
626	14.5584273504273
627	13.8816752136752
628	13.0776068376068
629	12.1683760683761
630	11.1894017094017
